artist,name,album_art_url,genres,type,release_date,
Resistor,HEADCASE,https://cdn2.albumoftheyear.org/375x/album/1205450-headcase_032505.jpg,"[""Beatdown Hardcore"", ""Djent""]",EP,24/01/2025,
Aviana,STORM ABLAZE,https://t2.genius.com/unsafe/224x224/https%3A%2F%2Fimages.genius.com%2Fc4bc72345626e36faa20d94cf5285e6e.1000x1000x1.png,"[""Metalccore""]",Single,30/01/2025,
ENOX,Orion,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRdfockf3NkBHKB44eS56G0-Zq-K5y78vf_hA&s,"[""Metalcore"",""Djent""]",EP,29/01/2025,
NOVELISTS,All For Nothing,https://e.snmc.io/i/600/s/9023abea857ecd9591776bd45bc6cea8/12983667/novelists-fr-all-for-nothing-Cover-Art.jpg,"[""Metalcore""]",Single,30/01/2025,
Aborted,"The Pain, will be Exquisite",https://f4.bcbits.com/img/a1550054045_10.jpg,"[""Death Metal"",""Grindcore""]",Single,28/01/2025,
AURAS,RED MERCURY,https://pbs.twimg.com/media/GidmvAiWgAANFo_?format=jpg&name=4096x4096,"[""Metalcore"",""Djent""]",Single,30/01/2025,
Straight Shot Home,Sunset,https://i.scdn.co/image/ab67616d00001e025db26ec22b543c4845400c6e,"[""Metalcore""]",Single,30/01/2025,
Caliban,Back from Hell,https://i.scdn.co/image/ab67616d00001e0256565d002e961d2f8415ca09,"[""Death Metal""]",Single,28/01/2025,
Face Yourself,Sideration,https://i.scdn.co/image/ab67616d00001e02a48c5f4325d0095a1067c57d,"[""Metalcore""]",Single,28/01/2025,
Within Destruction,CYBERGIRL,https://i.scdn.co/image/ab67616d00001e020d7978110b97293e50d2d594,"[""Deathcore""]",Single,29/01/2025,
Enterprise Earth,Descent into Madness,https://i.scdn.co/image/ab67616d00001e0285ef54daac1e8ff3d01dd3f9,"[""Deathcore""]",EP,30/01/2025,
Abbie Falls,Victim,,"[""Metalcore""]",Single,31/01/2025,
avoider,Katharsis,https://i.scdn.co/image/ab67616d00001e02998ae4abf04b60fd1a106e61,"[""Metalcore""]",Single,31/01/2025,
Ov Ruin,Infernal Flame,https://i.scdn.co/image/ab67616d00001e024a2ae8f62c8dd3fec4834f9e,"[""Deathcore""]",Single,31/01/2025,
Darko US,DETHMASK 3,https://i.scdn.co/image/ab67616d0000b273009b1468ea10cd8c7187a354,"[""Deathcore""]",Album,5/02/2025,
Synestia,Dies Irae,https://i.scdn.co/image/ab67616d0000b273ef8f0bf4bcd66c69b6b3cd20,"[""Deathcore""]",Single,5/02/2025,
Tómarúm,Shed This Erroneous Skin,https://i.scdn.co/image/ab67616d0000b273baa0274233ef755ace791709,"[""Black Metal""]",Single,6/02/2025,
Vicious Rain & Future Static,The Devil & Lovers,https://i.scdn.co/image/ab67616d0000b2733d3fa38e6980364f7885179c,"[""Metalcore""]",Single,6/02/2025,
Sugar Spine,Burnt Beyond Recognition,https://i.scdn.co/image/ab67616d0000b273e88a82095c22f336c22ab6a7,"[""Metalcore""]",Single,6/02/2025,
Stray From The Path,Kubrick Stare,https://i.scdn.co/image/ab67616d0000b27311ce0b74869b0dc3678991b8,"[""Hardcore""]",Single,5/02/2025,
ACCVSED &The Narrator,Don't Let Me Fall Apart,https://i.scdn.co/image/ab67616d0000b2730dee6c4222dd86c14ed6081c,"[""Metalcore""]",Single,7/02/2025,
Meet Your Maker,Cowards,https://i.scdn.co/image/ab67616d0000b273b764e992b8fe5da61cb5f31c,"[""Metalcore""]",Single,14/02/2025,
ten56.,Earwig,https://i.scdn.co/image/ab67616d0000b27332ad1785261fac2acd9d92c3,"[""Metalcore""]",Single,13/02/2025,
Face Yourself,Predatory,https://i.scdn.co/image/ab67616d0000b2735d8cf6348fb9165041133201,"[""Metalcore""]",Single,12/02/2025,
Hands Like Houses,ATMOSPHERICS,https://i.scdn.co/image/ab67616d0000b273082d866d5c2c909b54f7fe86,"[""Post-hardcore""]",Album,14/02/2025,
Shokran,Thirst for Revenge,https://i.scdn.co/image/ab67616d0000b273bd04a312461bcd7ba9947b31,"[""Metalcore""]",Single,14/02/2025,
Distant,Numb,https://i.scdn.co/image/ab67616d0000b27347f63552648e04e6f06fcfff,"[""Deathcore""]",Single,11/02/2025,
Ameonna,The Birth of Death,https://i.scdn.co/image/ab67616d0000b273127905fa855b31884a826810,"[""Deathcore""]",Single,14/02/2025,
